في	in/ within	fī
صوتيات	phonetics	ṣawtiyyāt
إلغاء	verbal noun of أَلْغَى (ʔalḡā) (form IV)	ʔilḡāʔ
الأسود	black	ʔaswad
الربيع	spring (season)	rabīʕ
قليلا	a little	qalīlan
موضحا
تتضمن
المعلم	taught/ schooled/ instructed/ educated/ trained	muʕallam
لمجلس	seat	majlis
الطائف	Ṭāʾif (a city in Saudi Arabia)	aṭ-ṭāʔif
تحديث	verbal noun of حَدَّثَ (ḥaddaṯa) (form II)	taḥdīṯ
عقود	plural of عَقْد (ʕaqd)	ʕuqūd
الكلمة	speech/ utterance/ statement	kalima
جرائم	plural of جَرِيمَة (jarīma)	jarāʔim
المحافظات
منبر	minbar/ pulpit	minbar
السجن	to confine/ to imprison	sajana
تبين	to be or become apparent	tabayyana
التاسع
مصري	Egyptian	miṣriyy
مواطن	citizen/ national	muwāṭin
دين	verbal noun of دَانَ (dāna/ “to be religious”) (form I)	dīn
للصف	row/ line (sequence of people or objects)	ṣaff
الماضى
كمية	quantity/ amount	kammiyya
بدعم	to support	daʕama
عدسة	lentil	/ʕa.da.sa/
الموسيقى	music	mūsīqā
تصدر	to preside/ to head	taṣaddara
جوجل
يتحدث		form V
خطوات	plural of خَطْوَة (ḵaṭwa)	ḵaṭawāt
تشطيب
استراتيجية
بالاضافة
الذاتية	feminine singular of ذَاتِيّ (ḏātiyy)	ḏātiyya
للأطفال	plural of طِفْل (ṭifl)	ʔaṭfāl
يساعد		form III
الأفضل	elative degree of فَضِيل (faḍīl):	ʔafḍal
النجوم	plural of نَجْم (najm)	nujūm
منوعات
الحصرية
هشام	generosity	hišām
الدورات
الاستاذ
صرح	to expound clearly/ to clarify/ to explain (عَلَى (ʕalā) to someone)	ṣaraḥa
تساعد		form III
الحدث	to happen/ to take place	ḥadaṯa
الفنانة
ذهب	to go/ to travel	ḏahaba
دورا
المسرح	pasture	masraḥ
زوجها
فلما	not yet/ but not/ yet not/ (governs a jussive verb)	lammā
وبرامج	plural of بَرْنَامَج (barnāmaj)	barāmij
للرئيس	boss/ chief/ leader	raʔīs
فضل	to remain/ to be left over	faḍala
التهاني		tuhānī
الشكل	to hobble (an animal)	šakala
بقية	rest/ remainder	baqiyya
التدخل	to interfere (فِي (fī) in)	tadaḵḵala
الثلاث	masculine of ثَلَاثَة (ṯalāṯa/ “three”)	ṯalāṯ
البحوث	plural of بَحْث (baḥṯ)	buḥūṯ
القيمة	value/ worth	qīma
اطلاق
إما	used for disjunction/ both posited as equal alternatives/ either ……	ʔimmā
الأحوال	plural of حَال (ḥāl)	ʔaḥwāl
السابعة
الصندوق	chest/ box/ trunk/ crate	ṣundūq or ṣandūq
إصابة	verbal noun of أَصَابَ (ʔaṣāba/ “to hit the target/ to injure”)…	ʔiṣāba
أصول	plural of أَصْل (ʔaṣl)	ʔuṣūl
جون	bay/ inlet/ gulf/ lagoon	jūn
فوائد	plural of فَائِدَة (fāʔida)	fawāʔid
محاضرات
يسعى		form I
سهولة	ease/ facility/ comfortableness	suhūla
أيها	vocative particle preceding a noun used in direct address/ only…	ʔayyuhā
ممثل	actor	mumaṯṯil
خطأ	verbal noun of خَطِئَ (ḵaṭiʔa) (form I)	ḵaṭaʔ
والاجتماعية	socialism	ijtimāʕiyya
تركية	feminine singular of تُرْكِيّ (turkiyy/ “Turkish”)	turkiyya
الشوط
استقبال	verbal noun of اِسْتَقْبَلَ (istaqbala) (form X)	istiqbāl
الدستورية
الفندق	inn/ hotel	funduq
النتيجة	result	natīja
راشد	following the right path	rāšid
نصائح	plural of نَصِيحَة (naṣīḥa)
خطاب	verbal noun of خَاطَبَ (ḵāṭaba) (form III)	ḵiṭāb
الفوركس
طيبة	feminine singular of طَيِّب (ṭayyib)	ṭayyiba
موسم	season	mawsim
مجمع	a junction (place where two or more things meet)	majmaʕ
الاستخدام	verbal noun of اِسْتَخْدَمَ (istaḵdama) (form X)	istiḵdām
الواجبات	plural of وَاجِب (wājib)	wājibāt
الاختبارات
متميز	active participle of تَمَيَّزَ (tamayyaza/ “to be distinguished”)	mutamayyiz
الشأن	thing/ matter/ affair	šaʔn
العالية	feminine singular of عَالٍ (ʕālin)	ʕāliya
اثنين	accusative of اِثْنَان (iṯnān/ “two”)	iṯnayn
الشكاوى	plural of شَكْوًى (šakwan)	šakāwā
الظهر	to be outward/ to be external/ on the surface	ẓahara
هما	they both/ the two of them (masculine or feminine dual subject…	humā
رياض
مبلغ	sum/ amount	mablaḡ
حديثة	feminine singular of حَدِيث (ḥadīṯ)
السن	to sharpen/ to whet/ to hone/ to grind	sanna
صغير	small	ṣaḡīr
ياسر	to go to the left/ to take the left side or direction/ to be on…	yāsara
التنظيف	verbal noun of نَظَّفَ (naẓẓafa) (form II)	tanẓīf
الجهة	side/ point of view	jiha
القضائية
الإصابة	verbal noun of أَصَابَ (ʔaṣāba/ “to hit the target/ to injure”)…	ʔiṣāba
المنظمات	plural of مُنَظَّمَة (munaẓẓama)	munaẓẓamāt
ستايل
الترفيهية
واكد
حدثنا		form I
التعارف	to get to know one another/ become acquainted with one another	taʕārafa
الاشتراك
التقليدية
والليزك
يتضمن
الأوضاع	plural of وَضْع (waḍʕ)	ʔawḍāʕ
المقال	verbal noun of قَالَ (qāla) (form I)	maqāl
الاستراتيجية
المكرمة
شديد	violent/ strong/ intense/ severe/ hard/ difficult/ acute/ extreme	šadīd
سامي	a male given name/ Sami/ feminine equivalent سَامِيَة (sāmiya)	sāmī
بالليزك
التجربة	verbal noun of جَرَّبَ (jarraba/ “to test”) (form II)	tajriba
ظروف	plural of ظَرْف (ẓarf)	ẓurūf
الذهاب
سبعة	seven	sabʕa
الانمي		unmī
اضغط
الاسم	name	ism
النجم	to appear	najama
وتشمل
جبهة	forehead/ brow	jabha
الحاج
همس	to whisper	hamasa
مني	conceptive fluid or discharge	maniyy
قوي	to be or become strong/ powerful	qawiya
لبعض	some/ part	baʕḍ
تعتمد
التصويت
أمنية	wish/ desire/ hope	ʔumniyya or ʔumniya
لعرض	to appear	ʕaraḍa
بيري
يهم		form I
جهد	to strive/ to struggle/ to labour/ to exert oneself/ to take…	jahada
الحي	alternative form of حَيِيَ (ḥayiya/ “to live”)	ḥayya
التنفيذية
مسار	track/ lane/ course/ line	masār
المتهم
الفرقة	part/ portion	firqa
بوسعك
سلم	peace	silm or salm
العناصر	plural of عُنْصُر (ʕunṣur)	ʕanāṣir
المحتوى	content	muḥtawan
دينية	feminine singular of دِينِيّ (dīniyy)	dīniyya
التأمين	verbal noun of أَمَّنَ (ʔammana/ “to reassure/ ensure/ insure/…	taʔmīn
توافق	to agree with one another	tawāfaqa
سياحية	feminine singular of سِيَاحِيّ (siyāḥiyy)	siyāḥiyya
مصرية	female equivalent of مِصْرِيّ (miṣriyy)	miṣriyya
سيناء	Sinai (a peninsula in eastern Egypt)	saynāʔ or sīnāʔ
فاطمة	Fatima/ daughter of Muhammad and wife of Ali/ especially revered…	fāṭima
اثناء	verbal noun of اِثَّنَى (iṯṯanā) (form VIII)	iṯṯināʔ
منوعة	medley	munawwaʕa
قريب	near/ close/ adjacent	qarīb
وأما	as for/ followed by a noun or pronoun/ itself followed by the…	ʔammā
انتشار	verbal noun of اِنْتَشَرَ (intašara) (form VIII)	intišār
الرحيم
أوباما	Obama	ʔubāmā
السياق	verbal noun of سَاقَ (sāqa/ “to drive”) (form I): how things are…	siyāq
الإيمان	verbal noun of آمَنَ (ʔāmana) (form IV)	ʔīmān
الأنمي	anime (Animated works that originated in Japan)	ʔanimī
فور	verbal noun of فَارَ (fāra) (form I)	fawr
الربع	one fourth/ one quarter	rubuʕ or rubʕ
فورا	instantly/ immediately	fawran
يشارك		form III
الجامعية
الأشياء	plural of شَيْء (šayʔ)	ʔašyāʔ
كون	verbal noun of كَانَ (kāna) (form I)	kawn
المباريات	plural of مُبَارَاة (mubārāh)	mubārayāt
الأسئلة	plural of سُؤَال (suʔāl)	ʔasʔila
لضمان	verbal noun of ضَمِنَ (ḍamina) (form I)	ḍamān
أشار	to point/ to point out/ to indicate	ʔašāra
للاطفال
جولة	verbal noun of جَالَ (jāla) (form I)	jawla
كتابه
الألماني
التغذية	verbal noun of غَذَّى (ḡaḏḏā) (form II)	taḡḏiya
فؤاد	heart	fuʔād
تؤدي		form II
أرسل	to send	ʔarsala
والحياة	verbal noun of حَيِيَ (ḥayiya) (form I)	ḥayāh
المسلسل	active participle of سَلْسَلَ (salsala)	musalsil
الأزرق
لوكالة	agency	wakāla
الشيء	thing	šayʔ
سبت
اللعب	to play	laʕiba
القائد	leader	qāʔid
طفل	child (a minor)	ṭifl
تزيد		form I
المقابل	in return for/ in exchange for/ as a compensation for	muqābil
مراحل	plural of مَرْحَلَة (marḥala)	marāḥil
الحكومي	related to government/ governmental	ḥukūmiyy
صيدا	Saïda (a city in Lebanon)/ the ancient Sidon (a former city-state…	Ṣaydā
فنحن	we (subject pronoun)	naḥnu
الارهاب
بشار	verbal noun of بَاشَرَ (bāšara) (form III)	bišār
الشخصي	own	šaḵṣiyy
السيسي
اقتصاد	verbal noun of اِقْتَصَدَ (iqtaṣada) (form VIII)	iqtiṣād
يحاول		form III
اليد	an appendage of a body (as of an animal)	yad
يخرج		form I
المحيط	whole	muḥīṭ
غينيا	Guinea (a country in West Africa)	ḡīniyā or ḡīnyā or gīniyā or gīnyā
تلقى	to receive/ to obtain	talaqqā
المالكي
بالدمام	Dammam (the capital city of the Eastern Province/ Saudi Arabia)	ad-dammām
سيرة	biography/ chronicle/ romance	sīra
الدار	flowing copiously	dārr
حوادث	plural of حَادِث (ḥādiṯ)	ḥawādiṯ
الخطوط	plural of خَطّ (ḵaṭṭ)	ḵuṭūṭ
القائم	active participle of قَامَ (qāma)	qāʔim
بتقديم	verbal noun of قَدَّمَ (qaddama) (form II)	taqdīm
سوء	verbal noun of سَاءَ (sāʔa) (form I)	sawʔ
لمعرفة	verbal noun of عَرَفَ (ʕarafa) (form I)	maʕrifa
صنع	to do/ to make	ṣanaʕa
رؤساء	plural of رَئِيس (raʔīs)	ruʔasāʔ
والمناسبات	plural of مُنَاسَبَة (munāsaba)	munāsabāt
انخفاض	verbal noun of اِنْخَفَضَ (inḵafaḍa) (form VII)	inḵifāḍ
الجوالات
الخيرية	charity (organization)	ḵayriyya
الخاصه
تأمين	verbal noun of أَمَّنَ (ʔammana/ “to reassure/ ensure/ insure/…	taʔmīn
مشتركة
صحية	feminine singular of صِحِّيّ (ṣiḥḥiyy)	ṣiḥḥiyya
المنافسة	verbal noun of نَافَسَ (nāfasa) (form III)	munāfasa
يعاني
موسيقى	music	mūsīqā
القيم	valuable/ worthy	qayyim
مبنى	building	mabnan
عربة	river with a strong current	ʕaraba
وتحميل	verbal noun of حَمَّلَ (ḥammala) (form II)	taḥmīl
وجد	to find/ to hit upon/ to come across	wajada
صعيد	highland/ upland/ plateau	ṣaʕīd
أكت
سرعة	verbal noun of سَرُعَ (saruʕa) (form I)	surʕa
الأداء	to get ill from disease	ʔadāʔa
مريم	a female given name/ Maryam/ equivalent to English Mary or Miriam/…	maryam
سلة	instance noun of سَلّ (sall/ “drawing out”).	salla
المؤكد
محددة	feminine singular of مُحَدَّد (muḥaddad)	muḥaddada
للدولة	state (sovereign polity)	dawla
سمو	verbal noun of سَمَا (samā) (form I)	sumuww
الجبهة	forehead/ brow	jabha
التأكد	to be confirmed/ to prove to be true	taʔakkada
للأمم	to nationalize	ʔammama
والشعر	to know/ to have knowledge/ to be cognizant	šaʕara
لعب	to play	laʕiba
توجه	to wend one's way/ to go	tawajjaha
ميشال	a female given name of French origin	mīšāl
قيمتها
التاسعة
الأزياء
نعمل		form I
مفهوم	concept/ notion/ idea	mafhūm
موجودة	feminine singular of مَوْجُود (mawjūd)	mawjūda
وجميع	whole/ entire/ all	jamīʕ
ثقة	verbal noun of وَثِقَ (waṯiqa)	ṯiqa
مهم	important	muhimm
تصبح	to sleep in the morning	taṣabbaḥa
ودعا	to call	daʕā
زر	to encroach upon one's enemy	zarra
العنوان	title (of book) — and "anything that serves as an indication of…	ʕunwān or ʕinwān
وزيرة
لعلاج	verbal noun of عَالَجَ (ʕālaja) (form III)	ʕilāj
كبرى	feminine singular of أَكْبَر (ʔakbar)	kubrā
الإيطالية
شهد	to witness/ to be a witness	šahida
أدوات	plural of أَدَاة (ʔadāh)	ʔadawāt
قاسم	divider	qāsim
وظيفة	job/ profession/ occupation	waẓīfa
اليابانية
البرمجة	verbal noun of بَرْمَجَ (barmaja) (form Iq)/ programming	barmaja
الواسعة
الامور
فوز	verbal noun of فَازَ (fāza) (form I)	fawz
نوف		form II
قادرة	feminine singular of قَادِر (qādir)	qādira
ظهرت		form I
حقا	truly/ verily/ in truth	ḥaqqan
موسوعة	encyclopedia	mawsūʕa
عسكري	military	ʕaskariyy
أنباء	plural of نَبَأ (nabaʔ)	ʔanbāʔ
تقنيات
بنظام	system	niẓām
شعبة	branch	šuʕba
فرقة	part/ portion	firqa
بري	wild	barriyy
الأنبياء
آب	August (eighth month of the Gregorian and Julian calendars)	ʔāb
صحفي	journalistic	ṣuḥufiyy or ṣaḥafiyy
تصنيف	verbal noun of صَنَّفَ (ṣannafa) (form II)	taṣnīf
والمواضيع	plural of مَوْضُوع (mawḍūʕ)	mawāḍīʕ
الحلول	verbal noun of حَلَّ (ḥalla) (form I)	ḥulūl
المجموعات	plural of مَجْمُوعَة (majmūʕa)	majmūʕāt
غالبا
القلوب	plural of قَلْب (qalb)	qulūb
لحل	to unfasten/ to untie/ to unknot/ to unravel/ to disentangle/ to…	ḥalla
المعهد	institute	maʕhad
الحديد	armor/ helmet	ḥadīd
بيد	for the sake of/ because of	bayda
نريد		form IV
لحماية	verbal noun of حَمَى (ḥamā) (form I)	ḥimāya
الكتائب
اكد
الإجتماعية
اكتوبر
شعبية	feminine singular of شَعْبِيّ (šaʕbiyy)	šaʕbiyya
البنات	plural of بِنْت (bint)	banāt
يعتمد
الصادر	to seize/ to impound/ to confiscate	ṣādara
لخدمة	verbal noun of خَدَمَ (ḵadama) (form I)	ḵidma
ثمة	there	ṯammata
الخطوة	step/ pace (an instance of stepping/ single movement of one foot…	ḵaṭwa
مناقشة	verbal noun of نَاقَشَ (nāqaša/ “to argue”) (form III)	munāqaša
مر	to pass/ to elapse/ to go by/ to cross	marra
مناسب	appropriate/ suitable/ proper/ adequate/ convenient	munāsib
الطبقة	layer/ stratum/ level	ṭabaqa
استخدامها
وتقديم	verbal noun of قَدَّمَ (qaddama) (form II)	taqdīm
الجنوبي	southern	janūbiyy
والمؤسسات	plural of مُؤَسَّسَة (muʔassasa)	muʔassasāt
المحمول
الخطة	project/ projected course/ plan	ḵuṭṭa
تشهد	testimony of faith.	tašahhada
نسمة	breath/ wiff/ waft/ breeze	nasama
والصور	to form/ to create	ṣawwara
الروايات	plural of رِوَايَة (riwāya)	riwāyāt
مصنع	factory/ plant	maṣnaʕ
نقول		form I
تعيين	verbal noun of عَيَّنَ (ʕayyana) (form II)	taʕyīn
شلن
عنده
المساعدات	plural of مُسَاعَدَة (musāʕada)	musāʕadāt
نتنياهو	a transliteration of the Hebrew surname נְתַנְיָהוּ (Netanyahu)	nitanyāhū
جابر	to treat with kindness/ to be nice	jābara
رحمة	verbal noun of رَحِمَ (raḥima) (form I)	raḥma
الديمقراطي
وانا	I (first person singular subject pronoun)	ʔana
شباط	February/ the 2nd month of the Gregorian calendar	šubāṭ
حصريا	exclusively	ḥaṣriyyan
منهما
وقبل	to accept	qabila
والاقتراحات	plural of اِقْتِرَاح (iqtirāḥ)	iqtirāḥāt
جرت		form I
مال	obsolete spelling of مَا لِ (mā li)	māli
حوالى
القومية
صفحات	plural of صَفْحَة (ṣafḥa)	ṣafaḥāt
قيد	fetter/ chain/ bond	qayd
الاحتفال	verbal noun of اِحْتَفَلَ (iḥtafala) (form VIII): celebration/…	iḥtifāl
زال	to go away/ withdraw	zāla
تابعة
بمثابة
العشرين	genitive/accusative of عِشْرُونَ (ʕišrūna)	ʕišrīna
الأسنان
مربع	square/ quadrangular piece	murabbaʕ
والخواطر	plural of خَاطِرَة (ḵāṭira)	ḵawāṭir
باكستان	Pakistan (a country in South Asia)	bākistān
الأقصى	further/ more distant/ furthest/ most distant	ʔaqṣā
