何	what
直美	a female given name
アンドレイ
アベル	Abel
当分	for the time being
書き	to write/ to record (words/ figures) on the surface of (something)
防止	prevention
就任	inauguration
楽観	optimism
安物	cheap articles/ low-quality goods
遺族	the bereaved family/ family of a deceased person
呼び名	the name by which one is called/ a given name or nickname/ a style…
愛らし
裏付け	to prove
水着	swimsuit/ a bathing suit/ swim trunks
シンシア	a transliteration of the English female given name Cynthia
口紅	lipstick
利己	selfishness
洞察	insight/ intuition
部外
迂回	roundabout/ detour/ circumlocution
解消	cancellation
変形	A metamorphosis
アラスカ	Alaska (a state of the United States)
成人	an adult/ a grown-up
広大	huge/ vast/ magnificent/ grand
乗り物	vehicle (conveyance)
開店	opening a store for business for the first time
前後	front and behind
高潔	noble and honest/ unsullied/ possessing integrity
従者	attendant/ servant/ follower/ entourage/ retinue
製薬	manufacture of pharmaceuticals
信心	piety/ devotion
公爵	duke
葉っぱ	leaf of a plant
形式	format
黒子	a mole or nevus containing more melanin than surrounding skin
新作	new creative work or product
連れ帰
自尊	self-respect
発想	idea/ conception
世辞	flattery
近頃	lately/ recently/ of late
書き留め	write down
論争	argument
餌食	food for a carnivore: prey
聞き覚え
引き付け	fascinate/ captivate/ charm
丁目	district/ a small numbered division of a city roughly equal to a block
早朝	early morning
帝王	emperor
北京	Beijing (a direct-administered municipality/ the capital city of…
渓谷	ravine/ gorge/ valley
習得	acquisition of a skill
文学	literature
あいさつ
アンドロイド	android (a robot that looks and acts like a human being)
取り憑
コロニアル
頂上	summit/ top
量子	quantum
盗人	thief/ robber
素手	having nothing in hand
二十	twenty/ 20
南東	southeast
あッ
乗車	getting in or on (a train/ bus or car)/ boarding
宗介	a male given name
本件
投げ込
見物	sightseeing
入れ墨	a tattoo (an image made in the skin with ink and a needle)
乗り換え	transfer/ change (e.g./ a bus or a train)
引越し	moving house
実績	achievements/ actual results
消失	the act of vanishing/ a disappearance
鋼鉄	synonym of 鋼 (hagane/ “steel”) (metal produced from iron)
性能	performance/ efficiency
ドリアン	Durio zibethinus/ a species of durian
餓死	starvation
人権	human rights
討論	debate
気遣
調和	harmonization/ harmony
細部	details
在住	living in a certain place/ often a foreign country/ residence
強い	strong/ durable/ powerful
水泳	swimming
可	allow/ permit
山脈	mountain range
艦内
即座	the spot/ then and there
搭載	loading with/ being equipped with
入場	entry
王室	royal family
仕置き	a means of dealing with or disposing of something
見下
進軍	a march (by an army)
市内	the interior of a city
アーヤン
命じ	order/ command
隕石	a meteorite
手作り	making by hand or by oneself
景気	condition (e.g. business)
大男
毒島	a surname
察	clear/ to clarify/ to investigate in detail (しる/ みる/ あきらか)
大目	eyes opened wide
前日	the previous day/ the day before
アシュリー
一斉	simultaneous
優位	superior
踏み入れ
居間	living room
大通り	main street/ boulevard
頂点	top/ peak/ summit/ vertex
布告	proclamation
あげろ	上げる/ 挙げる: to raise/ to lift (to move (something) upwards)
手法	a technique/ technical skill
立入
田鶴	a crane (large/ long-legged and long-necked bird of the family…
大家	landlord or landlady/ the owner of a rented apartment
乱用	misuse/ abuse
学長	president (of a university)
利点	advantage/ merit
処	place
流出	discharge/ outflow/ effluent
濃度	concentration/ density
小川	brook/ streamlet/ stream/ creek
廃止	abolition/ abolishment/ abrogation/ discontinuance/ dissolution/…
演劇	theatrical play
投げ捨て
取り決め	arrange or make arrangements/ agree upon (promise following…
歯科	dentistry
大王	a "great king" (used in the titles of or as the term of address…
見付か
日誌	daily record/ log
人殺
護送	escort/ convoy
アテネ	Athens (a city/ the capital city of Greece)
田舎者	someone from the country/ countryman/ country bumpkin/ hillbilly
悪名
遺物	relic (artifact left behind by a culture)
如何なる	what/ what kind of
拡張	An expansion or extension of range/ scale or influence.
商	dealing/ dealer/ merchant
両者	both sides/ both parties
ヾ一
放り込
真山	a surname
引き止め
気前	generosity
返信	reply/ response
迷信	superstition
町中	downtown
農業	agriculture
内通	betrayal from an insider by secret communication with the enemy
夏休み	summer vacation/ summer break/ summer holidays
工藤	a surname
歌声	the sound of singing/ singing voice
必然	certain/ inevitable/ necessary
横取り	arrogation/ seizure
技師	engineer
金子	gold used for money
観測	observation/ expedition
罪状	charge/ nature of the offense
元妻
懲役	time in prison/ prison sentence
要因	primary factor/ reason
万端	all matters related to something
送り出
新年	a new year
セオドア
照会	inquiry/ reference
器具	utensil/ piece of equipment/ device/ gadget
密売	illicit sale
移行	switchover
野放し	pasturing livestock/ letting an animal run free
全額	total amount
成り立
開き	to open
南アフリカ	South Africa (a country in Southern Africa)
アビゲール
統制	control/ regulation
司会	chairperson
判定	judgment/ decision
大樹	big tree
化合	chemical combination
汽車	steam locomotive/ train
先導	leadership
死神	a god or spirit who leads humans toward their death
タリア
快楽	pleasure
金田一	a surname
アリー
体操	gymnastics/ exercises/ calisthenics
アドラー
当てはま
アレキ
輸入	import/ importation
あきれ	get tired of/ get bored of/ have enough of
取り返し	recover/ get back
人命	human life
瀕死	being moribund/ the verge of death
強迫	pressure/ compulsion
総員	the entire strength/ all hands/ all the members
中古	a secondhand or used item
投下	dropping from a height
売り上げ	sales
表紙	book binding/ cover
読者	reader (person who reads a publication)
モリアーティ
所詮	after all/ in the end
持参	carrying/ bringing/ taking
放浪	wandering
引っ込
監査	audit (examination in general)/ inspection
アナル	anus
重症	severe illness
アダマ
安っぽ
手渡
学位	academic degree
整形	fixing the shape of something
重役	company executive or director
相応	appropriate/ suitable/ fit
早期	early stage
排水	drainage
水平	lateral/ horizontal/ level
王者	monarch
修行	training
磁石	magnet
大手	major company
日の出	sunrise
式典	ceremony
聖域	a sanctuary (consecrated area)
待ち構え	wait for/ watch for/ lie in wait
ガリアン
競売	auction
ありのまま
食い	to put something in one's mouth
調書	record of investigation
水槽	water tank
保守	maintenance/ conservation
スクエア
主な
担保	security/ mortgage/ collateral (something that secures the…
陸	six
行な
財団	foundation
直行	going directly
アルカディア
発火	ignition
中傷	slander/ defamation/ baseless speaking ill of
竹本	a surname
代物	product/ goods/ merchandise/ commodity/ something for sale
高官	high official/ dignitary
逆転	reversal
脱水	dehydration/ desiccation
全能	omnipotent
送電	act of transmitting electricity
人道	humanity
捕食	predation
顔面	a person's face
作物	crops
教皇	a pope
手短	brief/ short/ summarized/ succinct
私物	private property/ individual possessions
公演	public musical or theatrical performance such as a concert
枢機
腕前	facility/ skill
監察	inspection
残業	doing overtime work
不全	partial/ incomplete/ imperfect
資本	capital
戦利
家中	all members of a family
先手	vanguard
近親	a close relative
永井	a surname
皇太子	crown prince
絞殺	strangulation/ strangling
聞き込み	gathering information/ especially by the police questioning witnesses
取り替え	exchange/ change for/ swap
アスピリン	aspirin
ありふれ	to be commonplace
日没	sunset
日向	the direction the sun is shining
死角	blind spot (area that cannot be seen)
抜群	outstanding/ excellent/ exceptional
イライアス
アナリスト	analyst (person who analyzes)
銃創	bullet wound/ gunshot wound
一見	a glance/ a look
配給	rationing/ distribution/ especially of food
性交	sexual intercourse/ sex/ coitus/ copulation
石炭	coal
陽動	diversion/ deceptive action used to distract someone
編成	formation/ composition
見放
恐れ入
取調べ	investigation such as by the police
付き添
察知	detection/ perception
強奪	to rob/ to take by force
火山	a volcano
動員	mobilization
合併	combination/ fusion/ merger/ amalgamation/ union
無論	no doubt/ naturally/ of course/ it goes without saying
各国	each nation
羽目	panel/ board
議事	proceedings of a congress etc.
生地	cloth/ fabric
ハア	mhm/ yes (used to express polite agreement)
感銘	deep impression
ヶ所	a place/ a spot
アルカイダ	alternative form of アルカーイダ (aru-Kāida/ “al-Qaeda”)
師範	master/ instructor
和らげ	to soften/ to relieve/ to ease/ to appease/ to pacify
格子	lattice
水分	moisture
内蔵	the state of being built-in or internal
東部	eastern part
行き詰ま
高ま
病的	morbid/ pathological
早起き	getting up early
ガイアス
目隠し	blindfold
見過ご
取り込
信託	trust/ entrustment
視野	field of view
白雪	white snow
後任	successor
自立	independence/ autonomy/ self-reliance
灯台	a lighthouse
戸	door
あああ
標本	sample/ specimen
倒産	corporate bankruptcy
客観	objectivity
当社	our company
夜通し	all night/ overnight/ all the night through/ all night long
大西	a surname
書き換え	a rewrite
ペンシルバニア	alternative form of ペンシルベニア (Penshirubenia/ “Pennsylvania”)
目印	mark/ sign/ visual indicator
張り込み	to be on the lookout/ to camp out/ to stake out/ to lie in wait
重な
蒸気	vapor/ gas
思い付
合計	sum/ total
芝生	grass/ a lawn
あらら	alternative form of あら
年取
配管	plumbing/ pipework/ a system of pipes to carry water or gas
元哉
友子	a female given name
専務	exclusive responsibility
病室	sickroom/ patient's room in a hospital
言い切れ	declare/ assert
河	river/ stream/ brook
株価	stock price
庭師	gardener
便所	bathroom/ restroom/ lavatory/ toilet
支給	supply (provisions)/ money or goods that are issued or provided/…
信条	belief/ article of faith
配送	delivery
情緒	emotion/ feeling/ spirit
ルイジアナ	Louisiana (a state in the Deep South and South Central regions of…
起立	standing up
形態	form/ shape
過酷	severe/ cruel/ stern
火炎	flame/ blaze
来世	the hereafter/ the next world after death
歌詞	lyrics
特有	peculiar to/ specific to
ベアー
盛大	magnificent
家宅	domicile/ premises
殉教	martyrdom
共存	coexistence
視力	visual acuity/ eyesight/ vision
優雅	elegant/ refined
渡真利
賢者	a wise man/ a sage
