de	of (expresses belonging)
réception	reception (action of receiving)
french	synonym of français (“French”)
réservé	to reserve/ to make a reservation (for)/ to book
annulé	to cancel (to invalidate/ to annul)
wayne
mercredi	Wednesday
meme
négatif	negative
union	union
deviennent	to become
durer	to last (for)
semblent	to seem/ to resemble/ to look like
bombes	to bulge
ivre	drunk/ inebriated (by alcohol)
avancez	to advance/ to go forward
témoigner	to witness/ to be a witness at or for
bah	No.
langage	language: word choice and usage
tunnel	tunnel
chats	cat (feline)
pur	pure (unspoilt)
poudre	dust
oeuvre	nonstandard spelling of œuvre
jour-là
influence	influence
todd
méchants	bad/ mediocre
by
numéros	number
récupéré	to get back/ to recover/ to recuperate
pure	feminine singular of pur
biens	good as opposed to evil
garce	girl
tarte	pie/ tart
tres
hauteur	height/ altitude
carol
finale	feminine singular of final
culture	crop
revienne	to come back/ to return
pensiez	to think/ reflect/ concentrate one's mind on something
pénis	penis
crois-tu
déçu	disappointed
production	production
bible	bible (comprehensive text)
pierres	stone (substance)
gants	glove
sous-sol	basement/ cellar
beth
oeufs	nonstandard spelling of œuf
nina	a female given name
pouvons-nous
rumeurs	rumour / rumor
intérêts	interest (great attention and concern from someone)
regardais	to look at
indice	clue/ hint/ indication
ministère	ministry
brad
témoignage	testimony
œufs	egg
effrayant	to frighten/ to scare/ to affray
fouiller	to search (place/ thing)
prier	to pray
diane	Diana
actrice	actress
suspects	suspicious/ suspect
soirs	evening
pisser	to piss
causer	to cause (be the cause of)
finira	to finish/ end/ complete
entrepôt	warehouse/ storehouse
oxygène	oxygen
marshall
west
inquiètes	to worry
conclu	concluded
souviens-toi	to remember
devras	must/ to have to/ should (as a requirement)
francisco
salade	salad (raw vegetables in general)
indique	to connote (to signify beyond principal meaning)
matinée	morning (time between sunrise and noon)
flotte	to float
uns	one
rage	rage (fury/ anger)
amiral	of an admiral
perdus	past participle of perdre
gagnant	to win
mettent	to put/ to place
national	national
frigo	fridge/ refrigerator
christ	Christ
vince	a male given name from English
sachant	to know (something)
opérations	operation (method by which a device performs its function)
stress	stress (emotional pressure)
tuera	to kill
grant
lâchez	to release/ to loosen/ to let go
commander	to order (tell someone to do something)
guide	guide person
blagues	pouch/ especially for tobacco
chic	elegant/ fancy/ stylish/ posh/ swank
comte	count/ earl
fauteuil	armchair
prises	socket/ wall socket (also prise électrique)
vampires	vampire
noble	noble/ aristocratic
apprécier	to appreciate
auteur	author
kilos	kilo
tuerai	to kill
séparés	past participle of séparer
pouvaient	can/ to be able to
principale	main/ key/ principal
bottes	boot (footwear)
semblerait	to seem/ to resemble/ to look like
miens	(of) mine/ my own
foutue	past participle of foutre
espion	spy (person who secretly watches)
album	album (all meanings)
sortent	to exit/ go out/ come out
lou	a unisex given name
violent	violent
terroristes	terrorist
énerve	to vex/ to get on one's nerves
voudras	to want/ wish/ desire
repartir	to leave again/ to go back
spencer	spencer (garment)
teddy
serment	oath/ pledge
unités	unity
restait	to stay
promotion	promotion (career advancement)
sure	feminine singular of sur
division	division (act or process of dividing)
ron
viendrai	to come (to move from one place to another that is nearer the speaker)
foie	liver
puisses	can/ to be able to
pardonne	to pardon/ forgive
robot	robot
relax	relaxed
jess
mères	mother
ethan
joueurs	player
rejoint	to join/ to join up
taisez-vous	to be quiet/ to be silent
collection	collection
stupides	stupid
option	option
communication	communication
bizarres	bizarre/ odd/ strange/ funny
rigole	to laugh/ especially laugh out loud
anges	angel
vague	wave
innocents	innocent
lewis
nombreuses	numerous/ many
laboratoire	laboratory
soutenir	to support
naturellement	naturally
vends	to sell
floride	Florida (a state of the United States)
charme	to charm (with magic)
ian
adjoint	deputy/ assistant
trouvait	to find/ to retrieve something lost/ turn up something hidden/ or…
terroriste	terrorist
paraître	to appear (become visible)
clan	clan
livraison	delivery
jalouse	feminine singular of jaloux
retiré	past participle of retirer
efficace	effective
revenus	past participle of revenir
diplôme	diploma (document issued by an educational institution testifying…
piégé	to trap (catch in a trap)/ to trick/ to set up
interne	internal
ennuyeux	dull/ boring/ tedious/ tiresome/ monotonous
électricité	electricity
ignorer	to ignore
buvez	to drink
pervers	perverse
baby	table soccer/ table football
gâché	to ruin/ spoil/ mar/ wreck/ waste
phase	phase
trouvés	past participle of trouver
repris	past participle of reprendre
enregistré	to record for later replay or use/ especially sound
besoins	need
révolution	revolution (turn/ rotation)
passons	to go past
sein	breast (the chest)
valait	to be worth
barbe	to bore someone
pari	wager/ bet
fans	fan (admirer/ supporter)
dylan	a male given name from Welsh/ popular in the 1990s
connue	known
commerce	commerce/ trade
formation	formation/ forming/ development
habiller	to dress
fichu	fichu
renseignements	piece of information
bêtises	foolishness
michelle	a female given name/ popular more recently in the 1940's/…
parent	relative/ relation/ family member
tina
commissariat	commissionership
gratuit	free of charge
tuyau	pipe
couvre	to cover up/ to cover (put a cover over)
convient	third-person singular present indicative of convenir
adoré	to love/ to adore
total	total
oû
nancy	a female given name from English
autrefois	previously/ formerly (at a past time)/ erstwhile
éteint	to turn off (a switch/ device/ etc.)
étude	study (act of studying or examining)
fenêtres	window
actuellement	currently
écart	space/ gap/ interval/ distance
charger	to load (up) (vehicle/ animal etc.)
habitants	an inhabitant of some place
comté	county
étudié	to study
bol	bowl
dette	debt
diner	post-1990 spelling of dîner
rêver	to dream
interrompre	to interrupt
micro	clipping of microphone (“microphone”): mic
liens	tie/ bond
plastique	plastic
rompre	to break/ to snap
éteindre	to turn off (a switch/ device/ etc.)
dégoûtant	to disgust/ to nauseate/ to sicken/ to turn someone's stomach
deviez	must/ to have to/ should (as a requirement)
minable	lousy/ stinky/ rubbish
égoïste	selfish/ egotistic
casey
léger	light (not heavy)
cigarettes	cigarette
sœurs	sister
edward
réveillée	past participle of réveiller
one
cité	to cite/ quote
be
culpabilité	guilt/ culpability (responsibility for wrongdoing)
las	weary/ tired
adorerais	to love/ to adore
pourrons	can/ to be able to
produire	to produce/ to yield
nucléaire	nuclear
russie	Russia (a transcontinental country in Eastern Europe and North Asia)
rejoins	inflection of rejoindre:
tandis	during
descendez	to go down
espagnol	Spanish/ from or otherwise related to Spain/ its people etc.
volée	past participle of voler
vaisseaux	plural of vaisseau
régime	regime
pilules	pill (small object to be swallowed)
aïe	interjection expressing a sharp pain: ouch!
empreinte	imprint (any visible mark caused by pressure)
russell	an English surname
sain	healthy/ in good health
identifié	to identify
évidence	obviousness/ clearness
fidèle	loyal
trouveras	to find/ to retrieve something lost/ turn up something hidden/ or…
diras	to say/ to tell (to express through speech)
remède	remedy
cimetière	cemetery/ graveyard
couler	to sink
emporter	to take
fâché	to annoy/ to vex
exécution	execution
evidemment
porno	porno/ porn
devrez	must/ to have to/ should (as a requirement)
cellules	cell
éléments	element (part of a whole)
rang	row or line of things placed side-by-side
autorités	authority (the power to enforce rules or give orders)
laissera	to leave/ to leave behind
hannah
fierté	pride (positive emotion)/ self-esteem
vérifiez	to verify
travaillais	to work
congrès	congress
détends-toi
pratiquement	in practice/ for all practical purposes/ from a practical standpoint
enfui	to flee/ to run away
métro	metro/ subway (US)/ underground (UK)/ Tube (UK)
diamants	diamond (gem)
raymond	a male given name/ equivalent to English Raymond
façons	way/ manner/ fashion
processus	process
âmes	soul
caution	caution/ guaranty/ bail
lecture	reading (act or process of reading/ interpretation/ material read/…
rond	round (shape)
camarades	buddy/ mate
ressemblait	to resemble (to share similar qualities with)
écraser	to squash
caractère	character (written symbol)
trous	hole
intelligence	intelligence/ cleverness
renforts	reinforcement
résister	to resist
sous-titres	subtitle (a heading below or after a title)
roses	rose (flower)
ressenti	to feel (an emotion/ usually strongly)
douze	twelve
gus	bloke/ guy
instructions	instruction/ direction
gibbs
plaindre	to pity
voudrez	to want/ wish/ desire
so	initialism of sud-ouest/ SW
ali
exprimer	to express
religion	religion
survie	survival
couches	bed (place for sleeping)
pourri	to rot/ decompose/ putrefy/ crumble
esclave	slave
septembre	September
particulièrement	particularly/ specifically
tradition	tradition
dennis
aidez	to help/ to aid
jusque	until/ up to
commencent	to begin/ commence
stratégie	strategy
chasseur	a hunter
intéressante	interesting
walker
quinn
guitare	guitar
loué	to rent
attaché	attached/ attached to/ bound/ committed/ connected/ devoted/…
nue	naked/ nude/ bare
améliorer	to improve/ better/ ameliorate
termes	terms (conditions)
soeurs	nonstandard spelling of sœur
randy
vidéos	video
amant	lover (one who loves a particular person)
courte	short
escalier	step/ stair
owen
bêtes	beast/ animal
défi	challenge
gentils	noble/ gallant/ courteous
rentrons	to go back/ to re-enter
créatures	a creature/ a living being/ especially seen as the work of the…
chirurgien	surgeon (doctor who performs surgery)
montre-moi
dollar	dollar/ usually the US dollar.
quatrième	fourth
changent	to exchange (something)
souvenez-vous	to remember
accent	accent/ manner or tone of speech
parlez-vous
personnalité	personality/ character (set of non-physical psychological and…
durs	hard/ tough (difficult to penetrate)
commandement	command/ order
lampe	lamp/ light
kenny
crever	to pop/ burst
ken	synonym of niquer
centrale	central
oscar
espérer	to hope
goûter	to taste/ to try (to sample something orally)
nerfs	nerve
grandir	to grow/ get bigger
préférerais	to prefer
feux	fire
dépassé	to exceed
tuez	to kill
faut-il
passant	to go past
totale	total
rencontrée	past participle of rencontrer
pro	professional
carrie
méchante	bad/ mediocre
ressentir	to feel (an emotion/ usually strongly)
déclaré	to declare
dessin	drawing (act of drawing)
généreux	generous/ kind
attendons	to wait for/ to await
bourré	stuffed or filled to the very limit
mn	abbreviation of Marine Nationale (“National Navy”)/ the French Navy
manuel	a male given name from Spanish or Portuguese
officiel	official
reconnaissance	recognition
boisson	act of drinking/ consumption of a liquid
embrassé	to hug/ embrace (to affectionately wrap one's arms around another)
savaient	to know (something)
appétit	appetite
commandes	to order (tell someone to do something)
découverte	discovery
risquer	to risk/ to put at risk
entendue	past participle of entendre
excité	horny/ excited
rouler	to roll
câble	cable
fume	to smoke
phrase	sentence
réveil	waking/ awakening/ waking up
avère	to uncover/ to reveal
champs	field in its various senses/ including:
disponible	available (pour for/ à to)
levé	to raise/ lift
julian	a male given name/ English variant of Julien
dose	proportion
coma	coma (state of unconsciousness)
cuisiner	to cook (prepare food)
groupes	to group (to put together to form a group)
envoyée	past participle of envoyer
dépêche	to send/ dispatch (urgently)
sociale	social/ related to society/ community
assister	to assist/ to aid
